name,price,nro_of_nights,star_rating,review_score,review_count,room_type,part_of_city,distance_from_center,url,address
ClinkNOORD Hostel,691,1,3.0,8.0,16435.0,Private twin en-suite room,Amsterdam Noord,1.5,https://www.booking.com/hotel/nl/clinknoord.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682069&all_sr_blocks=132464808_93250478_0_2_0_1185076&highlighted_blocks=132464808_93250478_0_2_0_1185076&matching_block_id=132464808_93250478_0_2_0_1185076&sr_pri_blocks=132464808_93250478_0_2_0_1185076_69126&from=searchresults,"Badhuiskade 3, 1031 KV Amsterdam, Amsterdam Noord, 1031 CL Amsterdam, Netherlands
location — rated 9.1/10!"
Holiday Inn Express Amsterdam Arena Towers by IHG,611,1,3.0,8.0,18236.0,Standard Double Room,Zuidoost,7.8,https://www.booking.com/hotel/nl/holiday-inn-express-amsterdam-arena-towers.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682069&all_sr_blocks=104274802_94579769_2_41_0&highlighted_blocks=104274802_94579769_2_41_0&matching_block_id=104274802_94579769_2_41_0&sr_pri_blocks=104274802_94579769_2_41_0__61067&from_sustainable_property_sr=1&from=searchresults,"Hoogoorddreef 66, Zuidoost, 1101 BE Amsterdam, Netherlands
After booking, all of the property’s details, including telephone and address, are provided in your booking confirmation and your account."
ibis Amsterdam Centre,1036,1,3.0,7.7,9996.0,Small Twin Room,Amsterdam City Centre,0.8,https://www.booking.com/hotel/nl/ibiscentre.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682069&all_sr_blocks=1042218_95453819_2_2_0&highlighted_blocks=1042218_95453819_2_2_0&matching_block_id=1042218_95453819_2_2_0&sr_pri_blocks=1042218_95453819_2_2_0__103561&from_sustainable_property_sr=1&from=searchresults,"Stationsplein 49, Amsterdam City Centre, 1012 AB Amsterdam, Netherlands
location — rated 9.4/10!"
Hotel Estheréa,1943,1,4.0,9.2,4422.0,Double or Twin Room with Bathroom,Amsterdam City Centre,400.0,https://www.booking.com/hotel/nl/estherea.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682069&all_sr_blocks=1019209_376035474_0_2_0&highlighted_blocks=1019209_376035474_0_2_0&matching_block_id=1019209_376035474_0_2_0&sr_pri_blocks=1019209_376035474_0_2_0__194277&from=searchresults,"Singel 303 - 309, Amsterdam City Centre, 1012 WJ Amsterdam, Netherlands
location — rated 9.8/10!"
Novotel Amsterdam City,800,1,4.0,8.5,6450.0,Standard Queen Room,Zuideramstel,4.4,https://www.booking.com/hotel/nl/novotel-amsterdam.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682069&all_sr_blocks=1016030_95128104_2_2_0&highlighted_blocks=1016030_95128104_2_2_0&matching_block_id=1016030_95128104_2_2_0&sr_pri_blocks=1016030_95128104_2_2_0__79951&from_sustainable_property_sr=1&from=searchresults,"Europaboulevard 10, Zuideramstel, 1083 AD Amsterdam, Netherlands
After booking, all of the property’s details, including telephone and address, are provided in your booking confirmation and your account."
Tribe Amsterdam City,702,1,4.0,9.0,7787.0,Twin Room,Amsterdam Noord,4.2,https://www.booking.com/hotel/nl/tribe-amsterdam-city.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682069&all_sr_blocks=788625404_338509456_2_2_0_635861&highlighted_blocks=788625404_338509456_2_2_0_635861&matching_block_id=788625404_338509456_2_2_0_635861&sr_pri_blocks=788625404_338509456_2_2_0_635861_70191&from_sustainable_property_sr=1&from=searchresults,"Termini 9, Amsterdam Noord, 1022LB Amsterdam, Netherlands
location — rated 9.2/10!"
Holiday Inn Express Amsterdam - North Riverside by IHG,718,1,3.0,8.2,12488.0,Standard Twin Room with Free Breakfast,Amsterdam Noord,2.2,https://www.booking.com/hotel/nl/holiday-inn-express-amsterdam-motorkade.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682069&all_sr_blocks=633186202_247251398_2_41_0&highlighted_blocks=633186202_247251398_2_41_0&matching_block_id=633186202_247251398_2_41_0&sr_pri_blocks=633186202_247251398_2_41_0__71794&from_sustainable_property_sr=1&from=searchresults,"Motorkade 1, Amsterdam Noord, 1021 JP Amsterdam, Netherlands
After booking, all of the property’s details, including telephone and address, are provided in your booking confirmation and your account."
Wittenberg by Cove,1273,1,4.0,9.0,594.0,Studio Apartment,Amsterdam City Centre,1.4,https://www.booking.com/hotel/nl/wiittenberg.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682069&all_sr_blocks=265770001_105599917_0_0_0_1177135&highlighted_blocks=265770001_105599917_0_0_0_1177135&matching_block_id=265770001_105599917_0_0_0_1177135&sr_pri_blocks=265770001_105599917_0_0_0_1177135_127266&from=searchresults,"Nieuwe Kerkstraat 157, Amsterdam City Centre, 1018 VL Amsterdam, Netherlands
location — rated 9.3/10!"
Generator Amsterdam,729,1,3.0,7.8,7653.0,Superior Twin,Oost,2.2,https://www.booking.com/hotel/nl/generator-amsterdam.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682069&all_sr_blocks=167053101_139595415_0_2_0&highlighted_blocks=167053101_139595415_0_2_0&matching_block_id=167053101_139595415_0_2_0&sr_pri_blocks=167053101_139595415_0_2_0__72940&from=searchresults,"Mauritskade 57, Oost, 1092 AD Amsterdam, Netherlands
After booking, all of the property’s details, including telephone and address, are provided in your booking confirmation and your account."
Motel One Amsterdam,735,1,3.0,8.6,12877.0,Double Room,Zuideramstel,3.8,https://www.booking.com/hotel/nl/motel-one-amsterdam-rai.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682069&all_sr_blocks=143840302_326843453_2_2_0&highlighted_blocks=143840302_326843453_2_2_0&matching_block_id=143840302_326843453_2_2_0&sr_pri_blocks=143840302_326843453_2_2_0__73457&from_sustainable_property_sr=1&from=searchresults,"Europaboulevard 23, Zuideramstel, 1079 PC Amsterdam, Netherlands
After booking, all of the property’s details, including telephone and address, are provided in your booking confirmation and your account."
Mercure Amsterdam City Hotel,731,1,4.0,8.3,3964.0,Classic Double Room,Oost,4.4,https://www.booking.com/hotel/nl/mercure-amstel.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=21&hapos=21&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682069&all_sr_blocks=1011819_95128006_2_42_0&highlighted_blocks=1011819_95128006_2_42_0&matching_block_id=1011819_95128006_2_42_0&sr_pri_blocks=1011819_95128006_2_42_0__73050&from_sustainable_property_sr=1&from=searchresults,"Joan Muyskenweg 10, Oost, 1096 CJ Amsterdam, Netherlands
After booking, all of the property’s details, including telephone and address, are provided in your booking confirmation and your account."
Hampton By Hilton Amsterdam Arena Boulevard,656,1,3.0,8.1,13227.0,Twin Room,Zuidoost,7.6,https://www.booking.com/hotel/nl/hampton-by-hilton-amsterdam-arena-boulevard.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=22&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682069&all_sr_blocks=54570803_94489773_2_1_0_928966&highlighted_blocks=54570803_94489773_2_1_0_928966&matching_block_id=54570803_94489773_2_1_0_928966&sr_pri_blocks=54570803_94489773_2_1_0_928966_65551&from_sustainable_property_sr=1&from=searchresults,"Hoekenrode 1, Zuidoost, 1102 BR Amsterdam, Netherlands
location — rated 9.1/10!"
Citadines Canal Amsterdam,1225,1,4.0,8.8,1586.0,Classic Room,Amsterdam City Centre,1.3,https://www.booking.com/hotel/nl/citadines-canal-amsterdam.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=23&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682069&all_sr_blocks=937191701_365912827_2_2_0_246195&highlighted_blocks=937191701_365912827_2_2_0_246195&matching_block_id=937191701_365912827_2_2_0_246195&sr_pri_blocks=937191701_365912827_2_2_0_246195_122503&from_sustainable_property_sr=1&from=searchresults,"46 Noorderstraat, Amsterdam City Centre, 1017 TV Amsterdam, Netherlands
location — rated 9.3/10!"
Chassé Hotel Residency,907,1,4.0,8.9,3587.0,Boutique style - Stairs only,Oost,3.2,https://www.booking.com/hotel/nl/chasse-residency-amsterdam.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=24&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682069&all_sr_blocks=1001450707_377100347_0_2_0&highlighted_blocks=1001450707_377100347_0_2_0&matching_block_id=1001450707_377100347_0_2_0&sr_pri_blocks=1001450707_377100347_0_2_0__90694&from=searchresults,"58 James Wattstraat, Oost, 1097 DM Amsterdam, Netherlands
After booking, all of the property’s details, including telephone and address, are provided in your booking confirmation and your account."
The Alfred Hotel,662,1,3.0,7.7,6168.0,Twin Room-Souterrain,Oud Zuid,2.6,https://www.booking.com/hotel/nl/the-alfred.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682069&all_sr_blocks=186743306_92093121_0_2_0&highlighted_blocks=186743306_92093121_0_2_0&matching_block_id=186743306_92093121_0_2_0&sr_pri_blocks=186743306_92093121_0_2_0__66159&from=searchresults,"Cornelis Schuytstraat 58-60, Oud Zuid, 1071 JL Amsterdam, Netherlands
After booking, all of the property’s details, including telephone and address, are provided in your booking confirmation and your account."
